UniqueCount	AmbigCount
0	524
0	2254
25	1398
14	5986
43	1690
0	4205
81	725
57	148
15	3478
1	4575
0	1861
2	394
0	1386
1	1082
18	1691
100	154
197	277
107	3474
19	2734
1	574
10	3248
24	269
124	0
114	0
129	236
65	184
48	5091
0	4269
206	0
138	3755
156	321
26	8114
0	9285
0	9653
0	8344
0	9617
0	7479
16	295
0	831
25	1262
64	1575
0	3264
3	3378
0	3133
0	3640
0	3567
0	2663
32	7235
0	2348
0	1454
210	110
81	2677
0	733
0	1577
0	617
0	886
0	1172
137	0
0	1501
0	1353
0	953
9	1202
258	1402
0	934
384	703
327	438
149	1077
402	639
0	57515
1	56875
0	9894
32	2471
195	1628
78	317
49	1670
42	1549
51	1385
280	636
173	636
139	1848
0	1920
29	1613
0	217
4	1815
140	495
20	1269
276	184
4	1710
24	464
1032	176
147	176
23	2431
25	3578
0	4068
268	4414
157	3775
0	4068
223	10
0	197
263	316
203	396
59	0
108	0
50	9475
66	9441
108	9455
72	538
30	331
126	12
133	12
86	6209
74	3114
50	7456
156	7670
0	1099
11	750
503	22
32	674
0	881
461	1034
1392	936
57	697
119	4
135	385
138	772
91	581
47	604
171	232
64	5
113	93
291	55
1136	1455
59	1454
73	1005
113	930
165	394
399	1
85	4684
0	4264
0	4429
0	4849
127	4640
40	3417
1	4208
2232	207
124	207
107	33
2105	4888
66	497
0	4888
51	466
108	24
26	836
67	836
170	646
62	1144
3	3084
52	2821
125	625
255	1
34	72
92	44
86	283
97	1041
32	1097
93	1042
67	1059
89	1158
127	1172
444	320
166	3092
62	3106
75	233
0	68617
98	58641
0	63486
136	69792
285	60982
558	55366
0	52972
2119	7387
177	44626
2513	29981
1168	1995
278	3745
854	18579
1164	6837
691	0
1576	124
672	0
828	187
47	187
1325	2846
321	2161
0	764
15	628
49	578
19	302
2173	0
0	3142
57	2865
131	818
0	10169
0	10253
3	10253
83	230
122	285
72	3380
243	1767
356	1563
9	1612
36	1313
38	1685
12	831
14	873
101	222
33	3592
0	3840
118	3753
230	3518
129	269
352	545
89	182
46	2306
123	762
38	2790
20	2916
50	2811
90	61
92	83
147	1275
104	873
133	1013
93	158
652	6696
0	2665
1094	5342
0	45259
599	48817
516	46410
622	44386
0	43077
1605	43822
250	37739
184	12591
437	42885
257	17174
403	15363
605	2086
1262	19343
138	30
63	31
165	32
210	49
25	4126
52	4129
52	0
15	1071
23	1053
98	863
116	439
70	266
171	117
0	7296
0	7064
0	7552
0	7656
38	6738
0	7787
0	7407
11	3833
286	0
620	0
297	0
99	0
322	0
246	0
50	0
234	0
270	0
126	0
358	0
180	0
194	0
91	0
157	0
93	0
138	0
89	0
198	0
70	0
152	0
141	0
89	0
180	0
164	0
67	0
103	0
98	0
114	0
79	0
216	0
250	0
172	0
548	0
57	0
277	6991
168	68
67	6911
108	3741
139	164
530	1323
54	955
827	5842
301	5633
547	328
3114	5556
0	5911
113	5618
60	5289
812	2804
283	27
67	1190
4202	390
52	177
99	201
202	92
941	4
98	4
37	756
85	696
44	719
104	3
2818	572
96	32
198	0
311	1918
84	208
0	4195
0	3008
2	3554
240	2340
2	3018
38	3069
63	29
103	799
564	2854
57	283
14	1283
521	494
416	272
37	429
26	350
99	1075
100	1245
75	0
81	1452
0	3314
133	2080
107	781
68	1180
96	1596
63	880
32	14165
0	13920
0	7034
0	13642
0	14327
4	9705
46	474
261	19
49	587
0	4213
12	955
20	4653
535	2447
50	4073
280	1677
56	3291
142	0
66	57
20	2064
163	1867
60	811
15	793
29	628
77	710
57	1218
200	174
189	1376
281	599
93	599
19	170
0	2170
367	3730
0	3699
89	216
47	3211
56	1601
0	1244
0	1478
58	958
0	510
46	4713
123	1439
184	873
38	1844
34	675
161	1746
33	388
256	927
444	842
35	842
67	0
2117	244
25	244
3186	14686
1091	4719
178	15142
570	7952
154	14778
523	0
140	172
269	3432
44	54
93	180
42	3091
51	536
168	859
310	1
328	128
160	26
119	1678
31	1388
0	1672
67	1372
12	5897
122	5872
31	5884
80	5667
370	2
472	0
107	41
112	473
210	3002
177	577
228	37
38	634
142	1928
49	1751
99	1480
209	0
111	825
107	721
165	13348
352	127
163	5199
130	8776
8	13485
296	8097
50	88
0	9781
48	1376
204	5
144	3
0	1550
118	1268
0	1153
0	1328
22	2119
191	4074
0	2574
59	1087
0	2556
142	0
174	3760
70	4876
120	5165
0	6032
123	4481
27	1938
51	2569
0	4462
65	4031
56	3221
179	930
91	317
276	680
21	4230
0	3517
126	997
101	3767
137	2660
67	238
91	741
241	476
0	851
180	4071
0	3173
118	4218
74	1605
43	316
97	64
17	1379
36	1373
297	96
40	1013
175	1172
96	218
186	0
110	0
14	11225
363	920
34	510
3233	14705
0	13279
78	13000
0	14368
0	13458
0	11131
0	12593
190	404
